Spot Size,Spike Length, Poisonous
11,6,Y
13,5,Y
8,7,N
9,10,Y
14,10,Y
5,8,N
14,14,Y
16,4,Y
5,5,N
8,13,Y
5,12,Y
7,9,Y
17,20,Y
14,3,Y
8,4,N
6,3,N
16,7,Y
8,10,Y
5,2,N
11,16,Y
13,8,Y
9,5,N
6,19,Y
4,8,N
7,7,N
14,7,Y
16,8,Y
17,9,Y
5,8,N
15,9,Y
12,12,Y
13,6,Y
7,13,Y
5,15,Y
16,5,Y
11,6,Y
4,9,N
11,13,Y
12,8,Y
4,12,Y
3,5,N
4,9,N
4,10,Y
0,6,N
2,6,N
4,11,Y
1,13,Y
4,6,N
2,3,N
4,2,N
4,3,N
1,8,N
4,8,N
0,3,N
1,2,N
9,1,N
14,2,Y
12,2,Y
15,0,Y
2,2,N
16,0,Y
16,3,Y
5,1,N
6,0,N
16,3,Y
1,3,N
15,13,Y
10,2,N
15,7,Y
4,9,N
2,4,N
13,6,Y
10,4,N
10,2,N
8,8,Y
9,6,N
10,11,Y
2,4,N
8,9,Y
14,10,Y
6,7,N
4,2,N
9,10,Y
15,3,Y
7,3,N
1,14,Y
6,13,Y
8,14,Y
9,11,Y
3,8,N
1,14,Y
7,12,Y
5,12,Y
6,13,Y
4,12,Y
5,1,N
3,7,N
13,3,Y
13,8,Y
9,8,Y
11,3,N
1,2,N
6,2,N
2,1,N
5,10,Y
3,7,N
4,12,Y
11,6,Y
6,1,N
2,10,Y
4,9,N
6,10,Y
5,13,Y
6,14,Y
10,4,N
2,6,N
2,8,N
13,12,Y
2,14,Y
10,3,N
5,7,N
3,2,N
6,11,Y
10,1,N
15,6,Y
13,14,Y
7,2,N
2,8,N
6,3,N
5,15,Y
12,11,Y
1,1,N
5,14,Y
14,1,Y
14,4,Y
1,13,Y
12,7,Y
10,2,N
10,3,N
7,2,N
5,1,N
3,5,N
6,9,Y
9,7,Y
13,8,Y
4,9,N
5,8,N
4,2,N
8,8,Y
14,6,Y
